OrderID,Date,Time,Dish,Category,Quantity,Price,Total,PaymentType,City,Rating
1,2023-06-29,11:28:00,Salad,Healthy,2,100,200,Card,Bhubaneswar,1
2,2020-10-13,18:55:00,Icecream,Dessert,4,70,280,Online,Bhubaneswar,1
3,2023-08-01,12:15:00,Fries,Fast Food,3,80,240,Cash,Berhampur,3
4,2024-12-25,16:09:00,Burger,Fast Food,2,350,700,Cash,Cuttack,1
5,2020-05-19,13:54:00,Salad,Healthy,2,100,200,Card,Berhampur,3
6,2020-07-02,11:21:00,Pasta,Italian,4,250,1000,Cash,Berhampur,2
7,2023-04-13,13:34:00,Pasta,Italian,5,250,1250,Card,Berhampur,3
8,2020-12-09,17:44:00,Pizza,Fast Food,5,120,600,Card,Bhubaneswar,2
9,2022-09-18,15:53:00,Fries,Fast Food,2,80,160,Card,Cuttack,2
10,2024-04-18,20:37:00,Pasta,Italian,5,250,1250,Card,Berhampur,2
11,2020-04-07,21:01:00,Pasta,Italian,1,250,250,Cash,Bhubaneswar,5
12,2021-01-19,22:58:00,Coke,Beverage,5,50,250,Card,Berhampur,3
13,2022-05-27,21:17:00,Fries,Fast Food,3,80,240,Online,Cuttack,2
14,2022-07-08,17:02:00,Salad,Healthy,5,100,500,Cash,Berhampur,1
15,2020-11-18,19:18:00,Icecream,Dessert,2,70,140,Cash,Bhubaneswar,3
16,2024-11-20,17:10:00,Sandwich,Fast Food,2,150,300,Cash,Cuttack,1
17,2020-05-10,12:01:00,Icecream,Dessert,5,70,350,Online,Bhubaneswar,4
18,2024-04-04,15:22:00,Fries,Fast Food,2,80,160,Cash,Cuttack,1
19,2023-10-21,21:05:00,Icecream,Dessert,1,70,70,Cash,Berhampur,4
20,2022-12-19,15:30:00,Icecream,Dessert,1,70,70,Card,Berhampur,2
21,2021-09-22,21:23:00,Coke,Beverage,1,50,50,Cash,Bhubaneswar,3
22,2024-09-16,21:14:00,Sandwich,Fast Food,4,150,600,Card,Bhubaneswar,4
23,2022-04-11,11:49:00,Burger,Fast Food,2,350,700,Online,Cuttack,1
24,2024-05-31,16:32:00,Sandwich,Fast Food,1,150,150,Cash,Bhubaneswar,3
